university,email_domain,aliases
清华大学,tsinghua.edu.cn,清华|THU|清华大学
北京大学,pku.edu.cn,北大|PKU|北京大学
浙江大学,zju.edu.cn,浙大|ZJU|浙江大学
复旦大学,fudan.edu.cn,复旦|FDU|复旦大学
上海交通大学,sjtu.edu.cn,上交|SJTU|上海交大|交大
南京大学,nju.edu.cn,南大|NJU|南京大学
中国科学技术大学,ustc.edu.cn,中科大|USTC|科大
武汉大学,whu.edu.cn,武大|WHU|武汉大学
华中科技大学,hust.edu.cn,华科|HUST|华中理工
中山大学,sysu.edu.cn,中大|SYSU|中山大学
四川大学,scu.edu.cn,川大|SCU|四川大学
山东大学,sdu.edu.cn,山大|SDU|山东大学
吉林大学,jlu.edu.cn,吉大|JLU|吉林大学
同济大学,tongji.edu.cn,同济|TJU|同济大学
北京航空航天大学,buaa.edu.cn,北航|BUAA|北京航空航天
北京理工大学,bit.edu.cn,北理|BIT|北京理工
哈尔滨工业大学,hit.edu.cn,哈工大|HIT|哈尔滨工业
西安交通大学,xjtu.edu.cn,西交大|XJTU|西安交大|西交
南开大学,nankai.edu.cn,南开|NKU|南开大学
天津大学,tju.edu.cn,天大|TJU|天津大学
厦门大学,xmu.edu.cn,厦大|XMU|厦门大学
东南大学,seu.edu.cn,东南|SEU|东南大学
北京邮电大学,bupt.edu.cn,北邮|BUPT|北京邮电
电子科技大学,uestc.edu.cn,电子科大|UESTC|成电
中南大学,csu.edu.cn,中南|CSU|中南大学
华南理工大学,scut.edu.cn,华工|SCUT|华南理工
大连理工大学,dlut.edu.cn,大工|DLUT|大连理工
中国人民大学,ruc.edu.cn,人大|RUC|人民大学
中国农业大学,cau.edu.cn,中农|CAU|中国农业
西北工业大学,nwpu.edu.cn,西工大|NWPU|西北工业
华东师范大学,ecnu.edu.cn,华师大|ECNU|华东师范
北京师范大学,bnu.edu.cn,北师大|BNU|北京师范
重庆大学,cqu.edu.cn,重大|CQU|重庆大学
兰州大学,lzu.edu.cn,兰大|LZU|兰州大学
东北大学,neu.edu.cn,东大|NEU|东北大学
湖南大学,hnu.edu.cn,湖大|HNU|湖南大学
苏州大学,suda.edu.cn,苏大|SUDA|苏州大学
郑州大学,zzu.edu.cn,郑大|ZZU|郑州大学
中国海洋大学,ouc.edu.cn,海大|OUC|中国海洋
西安电子科技大学,xidian.edu.cn,西电|西电科大|Xidian
北京交通大学,bjtu.edu.cn,北交大|BJTU|北京交通
华东理工大学,ecust.edu.cn,华理|ECUST|华东理工
南京航空航天大学,nuaa.edu.cn,南航|NUAA|南京航空航天
南京理工大学,njust.edu.cn,南理工|NJUST|南京理工
上海大学,shu.edu.cn,上大|SHU|上海大学
暨南大学,jnu.edu.cn,暨大|JNU|暨南大学
中央财经大学,cufe.edu.cn,央财|CUFE|中央财经
上海财经大学,sufe.edu.cn,上财|SUFE|上海财经
对外经济贸易大学,uibe.edu.cn,对外经贸|UIBE|贸大
